2,3,4,-2,2
1,2,3,0,5
-2,3,4,-2,-1
1,1,1,1,10
5,0,1,-10,5
2,3,4,-2,2
1,2,3,0,5
-2,3,4,-2,-1
1,1,1,1,10
5,0,1,-10,5
2,3,4,-2,2
1,2,3,0,5
-2,3,4,-2,-1
1,1,1,1,10
5,0,1,-10,5
2,3,4,-2,2
1,2,3,0,5
-2,3,4,-2,-1
1,1,1,1,10
5,0,1,-10,5
2,3,4,-2,2
1,2,3,0,5
-2,3,4,-2,-1
1,1,1,1,10
5,0,1,-10,5
2,3,4,-2,2
1,2,3,0,5
-2,3,4,-2,-1
1,1,1,1,10
5,0,1,-10,5
2,3,4,-2,2
1,2,3,0,5
-2,3,4,-2,-1
1,1,1,1,10
5,0,1,-10,5
2,3,4,-2,2
1,2,3,0,5
-2,3,4,-2,-1
1,1,1,1,10
5,0,1,-10,5
2,3,4,-2,2
1,2,3,0,5
-2,3,4,-2,-1
1,1,1,1,10
5,0,1,-10,5
2,3,4,-2,2
1,2,3,0,5
-2,3,4,-2,-1
1,1,1,1,10
5,0,1,-10,5
2,3,4,-2,2
1,2,3,0,5
-2,3,4,-2,-1
1,1,1,1,10
5,0,1,-10,5
2,3,4,-2,2
1,2,3,0,5
-2,3,4,-2,-1
1,1,1,1,10
5,0,1,-10,5
2,3,4,-2,2
1,2,3,0,5
-2,3,4,-2,-1
1,1,1,1,10
5,0,1,-10,5
2,3,4,-2,2
1,2,3,0,5
-2,3,4,-2,-1
1,1,1,1,10
5,0,1,-10,5
2,3,4,-2,2
1,2,3,0,5
-2,3,4,-2,-1
1,1,1,1,10
5,0,1,-10,5
2,3,4,-2,2
1,2,3,0,5
-2,3,4,-2,-1
1,1,1,1,10
5,0,1,-10,5
2,3,4,-2,2
1,2,3,0,5
-2,3,4,-2,-1
1,1,1,1,10
5,0,1,-10,5
2,3,4,-2,2
1,2,3,0,5
-2,3,4,-2,-1
1,1,1,1,10
5,0,1,-10,5
2,3,4,-2,2
1,2,3,0,5
-2,3,4,-2,-1
1,1,1,1,10
5,0,1,-10,5
2,3,4,-2,2
1,2,3,0,5
-2,3,4,-2,-1
1,1,1,1,10
5,0,1,-10,5
2,3,4,-2,2
1,2,3,0,5
-2,3,4,-2,-1
1,1,1,1,10
5,0,1,-10,5
2,3,4,-2,2
1,2,3,0,5
-2,3,4,-2,-1
1,1,1,1,10
5,0,1,-10,5
2,3,4,-2,2
1,2,3,0,5
-2,3,4,-2,-1
1,1,1,1,10
5,0,1,-10,5
2,3,4,-2,2
1,2,3,0,5
-2,3,4,-2,-1
1,1,1,1,10
5,0,1,-10,5
2,3,4,-2,2
1,2,3,0,5
-2,3,4,-2,-1
1,1,1,1,10
5,0,1,-10,5
2,3,4,-2,2
1,2,3,0,5
-2,3,4,-2,-1
1,1,1,1,10
5,0,1,-10,5
2,3,4,-2,2
1,2,3,0,5
-2,3,4,-2,-1
1,1,1,1,10
5,0,1,-10,5
2,3,4,-2,2
1,2,3,0,5
-2,3,4,-2,-1
1,1,1,1,10
5,0,1,-10,5
2,3,4,-2,2
1,2,3,0,5
-2,3,4,-2,-1
1,1,1,1,10
5,0,1,-10,5
2,3,4,-2,2
1,2,3,0,5
-2,3,4,-2,-1
1,1,1,1,10
5,0,1,-10,5
2,3,4,-2,2
1,2,3,0,5
-2,3,4,-2,-1
1,1,1,1,10
5,0,1,-10,5
2,3,4,-2,2
1,2,3,0,5
-2,3,4,-2,-1
1,1,1,1,10
5,0,1,-10,5
2,3,4,-2,2
1,2,3,0,5
-2,3,4,-2,-1
1,1,1,1,10
5,0,1,-10,5
2,3,4,-2,2
1,2,3,0,5
-2,3,4,-2,-1
1,1,1,1,10
5,0,1,-10,5
2,3,4,-2,2
1,2,3,0,5
-2,3,4,-2,-1
1,1,1,1,10
5,0,1,-10,5
2,3,4,-2,2
1,2,3,0,5
-2,3,4,-2,-1
1,1,1,1,10
5,0,1,-10,5
2,3,4,-2,2
1,2,3,0,5
-2,3,4,-2,-1
1,1,1,1,10
5,0,1,-10,5
2,3,4,-2,2
1,2,3,0,5
-2,3,4,-2,-1
1,1,1,1,10
5,0,1,-10,5
2,3,4,-2,2
1,2,3,0,5
-2,3,4,-2,-1
1,1,1,1,10
5,0,1,-10,5
2,3,4,-2,2
1,2,3,0,5
-2,3,4,-2,-1
1,1,1,1,10
5,0,1,-10,5
2,3,4,-2,2
1,2,3,0,5
-2,3,4,-2,-1
1,1,1,1,10
5,0,1,-10,5
2,3,4,-2,2
1,2,3,0,5
-2,3,4,-2,-1
1,1,1,1,10
5,0,1,-10,5
2,3,4,-2,2
1,2,3,0,5
-2,3,4,-2,-1
1,1,1,1,10
5,0,1,-10,5
2,3,4,-2,2
1,2,3,0,5
-2,3,4,-2,-1
1,1,1,1,10
5,0,1,-10,5
2,3,4,-2,2
1,2,3,0,5
-2,3,4,-2,-1
1,1,1,1,10
5,0,1,-10,5
2,3,4,-2,2
1,2,3,0,5
-2,3,4,-2,-1
1,1,1,1,10
5,0,1,-10,5
2,3,4,-2,2
1,2,3,0,5
-2,3,4,-2,-1
1,1,1,1,10
5,0,1,-10,5
2,3,4,-2,2
1,2,3,0,5
-2,3,4,-2,-1
1,1,1,1,10
5,0,1,-10,5
2,3,4,-2,2
1,2,3,0,5
-2,3,4,-2,-1
1,1,1,1,10
5,0,1,-10,5
2,3,4,-2,2
1,2,3,0,5
-2,3,4,-2,-1
1,1,1,1,10
5,0,1,-10,5
2,3,4,-2,2
1,2,3,0,5
-2,3,4,-2,-1
1,1,1,1,10
5,0,1,-10,5
2,3,4,-2,2
1,2,3,0,5
-2,3,4,-2,-1
1,1,1,1,10
5,0,1,-10,5
2,3,4,-2,2
1,2,3,0,5
-2,3,4,-2,-1
1,1,1,1,10
5,0,1,-10,5
2,3,4,-2,2
1,2,3,0,5
-2,3,4,-2,-1
1,1,1,1,10
5,0,1,-10,5
2,3,4,-2,2
1,2,3,0,5
-2,3,4,-2,-1
1,1,1,1,10
5,0,1,-10,5
2,3,4,-2,2
1,2,3,0,5
-2,3,4,-2,-1
1,1,1,1,10
5,0,1,-10,5
2,3,4,-2,2
1,2,3,0,5
-2,3,4,-2,-1
1,1,1,1,10
5,0,1,-10,5
2,3,4,-2,2
1,2,3,0,5
-2,3,4,-2,-1
1,1,1,1,10
5,0,1,-10,5
2,3,4,-2,2
1,2,3,0,5
-2,3,4,-2,-1
1,1,1,1,10
5,0,1,-10,5
2,3,4,-2,2
